t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind,SRWC,PARi
478,6,10,13,347.8888889,10,0.75,400,3,80,474.3333333
479,6,11,13,527.4444444,10,0.75,400,3,80,535.650794
480,6,12,13,628.4444444,10,0.75,400,3,80,649.476191
481,6,13,13,617.2222222,10,0.75,400,3,80,795.968254
482,6,14,13,505,10,0.75,400,3,80,635.650793
483,6,15,13,325.4444444,10,0.75,400,3,80,529.4444444
484,6,16,13,112.2222222,10,0.75,400,3,80,379.3492063
485,6,17,13,0,10,0.75,400,3,80,148.4920635
486,6,18,13,0,10,0.75,400,3,80,52.9047619
487,6,19,13,0,10,0.75,400,3,80,0
488,6,20,7,0,10,0.75,400,3,80,0
489,6,21,7,0,10,0.75,400,3,80,0
490,6,22,7,0,10,0.75,400,3,80,0
491,6,23,7,0,10,0.75,400,3,80,0
492,6,24,7,0,10,0.75,400,3,80,0
493,7,1,7,0,10,0.75,400,3,80,0
494,7,2,7,0,10,0.75,400,3,80,0
495,7,3,7,0,10,0.75,400,3,80,0
496,7,4,7,0,10,0.75,400,3,80,0
497,7,5,7,0,10,0.75,400,3,80,0
498,7,6,7,0,10,0.75,400,3,80,3.206349206
499,7,7,13,0,10,0.75,400,3,80,81.76190476
500,7,8,13,0,10,0.75,400,3,80,138.2698413
501,7,9,13,11.22222222,10,0.75,400,3,80,338.6666667
502,7,10,13,11.22222222,10,0.75,400,3,80,474.3333333
