xylem_water_potential,axis,Ksoil,mstruct,SRWC,Tsoil,organ,proteins,Tr,soil_water_potential,total_water_potential,plant,age,amino_acids,t,sucrose,green_area
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.85691986,70,372.76757661,NA
NA,MS,NA,0.03822992,NA,NA,roots,NA,NA,NA,NA,1,NA,2.11550260,70,201.13868177,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00191245,1,NA,NA,70,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.21156158,71,391.12668349,NA
NA,MS,NA,0.03828950,NA,NA,roots,NA,NA,NA,NA,1,NA,1.90229377,71,204.27625559,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00255367,1,NA,NA,71,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.62764612,72,411.05559843,NA
NA,MS,NA,0.03834929,NA,NA,roots,NA,NA,NA,NA,1,NA,1.70075438,72,209.22040853,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00284622,1,NA,NA,72,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,8.12412631,73,432.91695586,NA
NA,MS,NA,0.03840936,NA,NA,roots,NA,NA,NA,NA,1,NA,1.50652172,73,215.99788406,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00341462,1,NA,NA,73,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,8.48540743,74,450.87989111,NA
NA,MS,NA,0.03846975,NA,NA,roots,NA,NA,NA,NA,1,NA,1.46739334,74,224.23569922,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00417421,1,NA,NA,74,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,8.71178294,75,465.06455403,NA
NA,MS,NA,0.03853051,NA,NA,roots,NA,NA,NA,NA,1,NA,1.49861889,75,233.14445828,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00333201,1,NA,NA,75,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,8.79617887,76,474.45779111,NA
NA,MS,NA,0.03859163,NA,NA,roots,NA,NA,NA,NA,1,NA,1.59203887,76,241.98838811,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00280180,1,NA,NA,76,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,8.70793916,77,475.05051002,NA
NA,MS,NA,0.03865308,NA,NA,roots,NA,NA,NA,NA,1,NA,1.76205081,77,249.77785668,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00208471,1,NA,NA,77,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,8.53643329,78,470.30132583,NA
