t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
1139,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1140,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1141,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1142,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1143,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1144,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1145,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1146,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1147,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1148,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1149,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1150,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1151,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1152,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1153,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1154,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1155,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1156,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1157,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1158,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1159,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1160,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1161,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1162,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1163,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1164,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1165,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1166,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1167,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1168,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1169,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1170,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1171,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1172,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1173,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1174,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1175,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1176,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1177,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1178,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1179,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1180,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1181,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1182,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1183,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1184,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1185,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1186,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1187,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1188,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1189,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1190,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1191,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1192,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1193,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1194,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1195,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1196,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1197,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1198,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1199,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1200,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1201,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1202,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1203,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1204,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1205,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1206,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1207,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1208,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1209,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1210,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1211,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1212,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1213,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1214,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1215,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1216,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1217,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1218,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1219,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1220,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1221,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1222,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1223,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1224,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1225,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1226,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1227,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1228,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1229,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1230,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1231,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1232,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
